driver_id,driver_name,city,zone,onboarding_date,active_flag
125,Ikbal Saraf,Delhi,North,2025-04-30,1
126,Dipta Sarin,Chennai,South,2025-01-31,1
127,Lekha Gupta,Jaipur,North,2025-07-06,1
128,Chaitanya Sarin,Hyderabad,South,2024-10-22,1
129,Zinal Yohannan,Kolkata,East,2024-07-04,1
130,Januja Sankar,Kolkata,East,2025-06-06,1
131,Ganga Murthy,Indore,Central,2025-03-13,1
132,Charita Tripathi,Kolkata,East,2025-04-10,0
133,Nilima Narain,Pune,West,2024-12-13,1
134,Chakrika Datta,Bangalore,South,2025-01-28,0
135,Osha Raghavan,Delhi,North,2024-12-05,1
136,Charvi Ravi,Nagpur,Central,2025-09-02,0
137,Daksha Mangat,Jaipur,North,2024-08-23,0
138,Qushi Nagy,Ahmedabad,West,2025-12-30,1
139,Riya Sathe,Mumbai,West,2025-04-20,1
140,Yasti Solanki,Patna,East,2025-02-13,1
141,Frado Mander,Delhi,North,2024-07-02,1
142,Girik Keer,Pune,West,2025-07-26,1
143,Umang Issac,Mumbai,West,2025-01-20,1
144,Aryan Batra,Hyderabad,South,2025-11-11,1
145,Vaishnavi Bora,Bangalore,South,2025-04-18,1
146,Oeshi Hayer,Pune,West,2025-08-05,1
147,Warda Ratta,Ahmedabad,West,2025-09-11,1
148,Manbir Ahluwalia,Mumbai,West,2024-06-09,1
149,Pavani Kanda,Kolkata,East,2024-10-22,0
150,Zarna Shetty,Chandigarh,North,2024-07-26,1
151,Zaid Dara,Jaipur,North,2025-09-23,1
152,Kiaan Shetty,Jaipur,North,2024-08-16,1
153,Saanvi Thaman,Lucknow,North,2025-05-30,1
154,Sanaya Dutt,Chandigarh,North,2024-12-19,1
155,Shivani Lad,Kolkata,East,2025-09-13,1
156,Aradhana Verma,Kolkata,East,2025-12-25,1
157,William Maharaj,Chennai,South,2025-03-13,1
158,Faras Mangal,Hyderabad,South,2024-12-08,1
159,Anita Nayak,Hyderabad,South,2024-07-27,1
160,Faris Devi,Bhopal,Central,2025-05-21,1
161,Vihaan Rajagopal,Chennai,South,2025-06-03,1
162,Tanish Bhatt,Bangalore,South,2025-05-23,1
163,Nikita Narayanan,Chennai,South,2025-05-11,0
164,Ojasvi Bhatia,Mumbai,West,2025-01-11,0
165,Osha Ramachandran,Chandigarh,North,2025-04-24,1
166,Lajita Sood,Indore,Central,2025-03-01,1
167,Indira Misra,Nagpur,Central,2025-03-17,0
168,Oni Yohannan,Delhi,North,2024-07-07,0
169,Vinaya Kanda,Chennai,South,2025-09-04,1
170,Rajata Sunder,Mumbai,West,2025-11-11,1
171,Lopa Nayar,Ahmedabad,West,2025-07-29,1
172,Noah Sibal,Hyderabad,South,2025-09-10,1
173,Avi Ramesh,Nagpur,Central,2025-09-23,1
174,Fiyaz Sangha,Jaipur,North,2025-10-29,1
175,Triya Gopal,Chennai,South,2025-11-21,1
176,Abha Raghavan,Pune,West,2025-12-03,1
177,Siddharth Sha,Hyderabad,South,2024-11-16,1
178,Geetika Raghavan,Bangalore,South,2024-10-17,1
179,Oviya Krishnan,Jaipur,North,2024-09-17,1
180,Upma Bahl,Kolkata,East,2024-07-03,1
181,Inaya Kapur,Patna,East,2024-07-10,1
182,Banjeet Balasubramanian,Bangalore,South,2025-09-10,1
183,Ryan Bahri,Delhi,North,2024-10-22,1
184,William Date,Ahmedabad,West,2024-06-10,1
185,Ishwar Kamdar,Mumbai,West,2025-03-11,1
186,Aahana Pillay,Chennai,South,2024-06-23,1
187,Ishwar Gade,Pune,West,2025-04-14,1
188,Hritik Bal,Pune,West,2025-10-20,1
189,Keya Ranganathan,Pune,West,2024-08-09,0
190,Faqid Kibe,Indore,Central,2024-10-06,0
191,Charvi Dara,Mumbai,West,2024-11-25,1
192,Idika Walia,Kolkata,East,2025-03-30,1
193,Kamala Biswas,Bangalore,South,2025-07-18,1
194,Advik Salvi,Indore,Central,2024-09-17,1
195,Hitesh Sant,Indore,Central,2025-08-29,1
196,Tripti Dua,Pune,West,2025-06-11,1
197,Patrick Vig,Jaipur,North,2025-10-17,0
198,Veda Shroff,Hyderabad,South,2025-12-03,0
199,Amrita Naidu,Chennai,South,2024-06-16,1
200,Gabriel Mallick,Delhi,North,2025-03-14,1
201,Yagnesh Shetty,Delhi,North,2024-09-06,1
202,Gayathri Balakrishnan,Bangalore,South,2024-06-24,1
203,Ekta Gopal,Ahmedabad,West,2025-04-15,1
204,Simon Pant,Chennai,South,2025-12-18,1
205,Harini Mammen,Bangalore,South,2025-08-12,1
206,Advaith Varughese,Mumbai,West,2025-07-24,1
207,Frederick Khurana,Delhi,North,2025-10-09,1
208,Vrinda Khosla,Ahmedabad,West,2024-08-23,0
209,Vritti Sem,Bangalore,South,2025-11-17,1
210,Girik Menon,Hyderabad,South,2025-08-03,1
211,Nidhi Kohli,Ahmedabad,West,2025-02-19,1
212,Jyoti Solanki,Hyderabad,South,2025-03-07,1
213,Pavani Narayanan,Lucknow,North,2024-10-31,1
214,Sudiksha Madan,Mumbai,West,2025-08-18,1
215,Zayan Kashyap,Delhi,North,2024-10-08,0
216,Reyansh Mutti,Indore,Central,2025-03-27,1
217,Qasim Handa,Mumbai,West,2025-04-04,1
218,Veda Malhotra,Ahmedabad,West,2025-10-23,1
219,Harish Hari,Jaipur,North,2024-07-31,1
220,Utkarsh Patel,Delhi,North,2025-02-20,1
221,Chasmum Atwal,Jaipur,North,2025-12-29,1
222,Anusha Bath,Ahmedabad,West,2025-12-14,1
223,Brinda Date,Indore,Central,2025-07-30,0
224,Harshil Arora,Kolkata,East,2025-09-25,1
225,Upasna Srinivas,Hyderabad,South,2024-08-24,0
226,Harini Gour,Nagpur,Central,2024-09-26,1
227,Zayyan Sridhar,Mumbai,West,2024-06-17,0
228,Dhruv Rattan,Nagpur,Central,2024-09-29,1
229,Ethan Bera,Lucknow,North,2025-10-28,1
230,Manthan Modi,Lucknow,North,2025-09-18,1
231,Yuvraj Dani,Mumbai,West,2025-09-21,1
232,Upkaar Virk,Jaipur,North,2024-06-15,1
233,Shravya Savant,Indore,Central,2025-01-23,1
234,Pushti Mody,Kolkata,East,2025-02-04,0
235,Hardik Johal,Ahmedabad,West,2024-11-08,1
236,Aishani Bumb,Chennai,South,2025-05-01,1
237,Wriddhish Ghose,Chennai,South,2025-09-18,1
238,Naksh Agate,Hyderabad,South,2024-07-19,1
239,Shravya Singhal,Hyderabad,South,2025-03-20,1
240,Bachittar Kata,Hyderabad,South,2025-03-28,1
241,Barkha Setty,Nagpur,Central,2025-01-16,1
242,Vivaan Lalla,Bangalore,South,2024-06-30,0
243,Pavani Contractor,Pune,West,2025-09-18,1
244,Manthan Lata,Chennai,South,2025-02-06,1
245,Ekbal Bhasin,Nagpur,Central,2024-10-16,1
246,Damyanti Mani,Lucknow,North,2025-04-12,1
247,Jeet Sidhu,Delhi,North,2025-06-21,1
248,Neha Magar,Pune,West,2025-08-08,1
249,Raksha Buch,Pune,West,2025-11-25,0
250,Rachana Naidu,Hyderabad,South,2026-01-01,1
251,Atharv Chand,Jaipur,North,2025-10-08,1
252,Ansh Luthra,Delhi,North,2025-02-18,1
253,Parth Singhal,Bangalore,South,2024-08-01,1
254,Arunima Golla,Mumbai,West,2025-01-05,1
255,Vyanjana Chand,Patna,East,2024-07-29,0
256,Ijaya Rege,Indore,Central,2025-02-23,1
257,Ekani Cheema,Indore,Central,2025-01-20,1
258,Forum Sabharwal,Mumbai,West,2025-11-08,1
259,Bhavya Rattan,Bhopal,Central,2024-09-12,0
260,Suhani Chakrabarti,Pune,West,2025-09-19,1
261,Zayyan Naik,Mumbai,West,2025-08-27,1
262,Netra Varkey,Chennai,South,2025-10-26,1
263,Turvi Sachdev,Lucknow,North,2024-10-25,1
264,Raghav Vasa,Delhi,North,2025-02-23,1
265,Wishi Sathe,Jaipur,North,2025-07-19,1
266,Samar Loke,Lucknow,North,2024-11-12,1
267,Bhavna Sarma,Ahmedabad,West,2025-03-18,1
268,Jairaj Balakrishnan,Bhopal,Central,2025-09-22,1
269,Nathan Mukhopadhyay,Bangalore,South,2024-06-23,1
270,Nikita Chander,Delhi,North,2025-03-17,0
271,Ishaan Shenoy,Lucknow,North,2025-11-23,1
272,Mitesh Tara,Jaipur,North,2024-10-03,1
273,Yashodhara Mahajan,Jaipur,North,2024-09-16,1
274,Vasudha Sodhi,Mumbai,West,2024-12-14,0
275,Tanmayi Dhillon,Hyderabad,South,2024-07-31,1
276,Rayaan Trivedi,Kolkata,East,2024-09-04,1
277,Ekaraj Majumdar,Chennai,South,2025-11-06,1
278,Harini Tripathi,Ahmedabad,West,2025-08-11,1
279,Aarnav Mandal,Chennai,South,2025-03-23,1
280,Vrishti Dixit,Ahmedabad,West,2025-02-06,1
281,Veda Pai,Hyderabad,South,2024-10-18,1
282,Krishna Shah,Hyderabad,South,2025-02-09,1
283,Ranbir Khare,Ahmedabad,West,2024-08-25,0
284,Vivaan Roy,Kolkata,East,2025-02-26,1
285,Eesha Solanki,Chennai,South,2025-06-01,1
286,Libni Doshi,Bangalore,South,2025-06-24,1
287,Balhaar Date,Delhi,North,2025-06-16,1
288,Harish Sarraf,Ahmedabad,West,2024-09-08,1
289,Tanmayi Aurora,Kolkata,East,2025-11-05,1
290,Nimrat Dubey,Mumbai,West,2024-10-06,1
291,Upasna Lanka,Chennai,South,2024-11-18,0
292,Mitali Buch,Delhi,North,2025-09-18,1
293,Lajita Nadig,Chennai,South,2025-06-12,1
294,Balendra Biswas,Chennai,South,2024-08-22,1
295,Bhavna Karan,Indore,Central,2025-09-30,0
296,Radha Chaudhari,Hyderabad,South,2024-07-29,1
297,Sachi Ganesan,Delhi,North,2024-06-23,1
298,Ayush Batra,Delhi,North,2025-02-07,1
299,Daksh Memon,Nagpur,Central,2025-03-05,1
300,Kavya Sankar,Chandigarh,North,2025-02-03,1
301,Yash Wali,Lucknow,North,2025-09-15,1
302,Pranit Garde,Chennai,South,2025-03-05,1
303,Farhan Raja,Mumbai,West,2024-12-20,1
304,Widisha Dhar,Hyderabad,South,2024-11-06,0
305,Triya Kumar,Mumbai,West,2025-05-29,1
306,Aadhya Andra,Jaipur,North,2025-06-26,1
307,Bhavna Dugar,Indore,Central,2025-09-24,1
308,Riya Pai,Delhi,North,2025-03-31,1
309,Panini Krishna,Bangalore,South,2024-06-30,0
310,Chasmum Issac,Nagpur,Central,2025-05-05,1
311,Vasudha Chhabra,Ahmedabad,West,2025-01-02,1
312,Lakshmi Parmer,Patna,East,2025-06-25,1
313,Chakrika Bains,Chandigarh,North,2024-10-20,0
314,Anvi Anand,Chennai,South,2025-04-19,0
315,Watika Mangat,Kolkata,East,2024-09-02,1
316,Indira Kanda,Jaipur,North,2024-11-06,0
317,Zashil Devan,Kolkata,East,2024-12-28,1
318,Balveer More,Delhi,North,2024-10-05,1
319,Bahadurjit Patla,Pune,West,2024-08-14,1
320,Gautam Merchant,Pune,West,2025-05-11,1
321,Ojasvi Gill,Hyderabad,South,2025-02-20,1
322,Kevin Zacharia,Chennai,South,2024-09-20,1
323,Yachana Mahajan,Chennai,South,2024-08-08,1
324,Aarini Subramaniam,Ahmedabad,West,2024-09-25,1
325,Hamsini Contractor,Mumbai,West,2024-06-28,1
326,Faqid Dhaliwal,Delhi,North,2024-10-19,1
327,Mekhala Pau,Bangalore,South,2024-06-29,0
328,Megha Atwal,Ahmedabad,West,2025-06-24,1
329,Jatin Sha,Bangalore,South,2024-06-12,1
330,Adweta Raj,Hyderabad,South,2025-10-14,1
331,Hritik Kaur,Patna,East,2024-09-13,0
332,Aryan Narang,Bangalore,South,2025-02-09,0
333,Dev Shetty,Mumbai,West,2025-07-17,1
334,Nilima Dada,Hyderabad,South,2024-12-26,1
335,Chakradev Barad,Mumbai,West,2024-07-25,1
336,Waida D’Alia,Hyderabad,South,2024-07-04,1
337,Wahab Yogi,Lucknow,North,2025-06-05,1
338,Lipika Setty,Bangalore,South,2024-10-10,1
339,Oni Dubey,Pune,West,2024-11-28,1
340,Hardik Suri,Chennai,South,2024-08-17,1
341,Ati Bali,Chennai,South,2025-04-13,1
342,Teerth Sawhney,Bhopal,Central,2025-02-27,1
343,Warinder Patil,Chennai,South,2024-11-15,0
344,Jhalak Parmer,Bhopal,Central,2025-08-09,1
345,Mitali Majumdar,Kolkata,East,2025-08-23,1
346,Jason Sha,Kolkata,East,2025-02-06,1
347,Simon Bail,Chennai,South,2025-06-10,1
348,Gauri Kohli,Hyderabad,South,2024-12-22,1
349,Samesh Biswas,Delhi,North,2025-12-26,1
350,Tarak Kaul,Bangalore,South,2025-02-27,1
351,Manbir Agate,Lucknow,North,2024-10-18,1
352,Maanav De,Lucknow,North,2025-04-20,1
353,Owen Choudhary,Chandigarh,North,2025-08-09,1
354,Karan Aurora,Nagpur,Central,2024-10-01,1
355,Wazir Naik,Lucknow,North,2024-10-05,0
356,Owen Lanka,Delhi,North,2025-07-25,1
357,Jonathan Sama,Mumbai,West,2024-09-20,1
358,Devansh Soni,Delhi,North,2025-04-17,1
359,Janaki Varghese,Kolkata,East,2025-04-15,1
360,Siya Thakur,Mumbai,West,2025-03-04,1
361,Caleb Verma,Bangalore,South,2024-10-24,1
362,Tara Balasubramanian,Kolkata,East,2025-07-29,1
363,Varenya Ratti,Bangalore,South,2024-08-27,1
364,Hritik Swaminathan,Pune,West,2025-11-29,1
365,Ethan Buch,Kolkata,East,2025-03-09,1
366,Manbir Bhatti,Bangalore,South,2025-05-04,0
367,Anvi Nair,Chandigarh,North,2025-04-19,1
368,Chaitaly Setty,Bangalore,South,2025-01-01,1
369,Hardik Contractor,Bangalore,South,2025-08-24,1
370,Qushi Seth,Bangalore,South,2025-04-21,0
371,Odika Nori,Indore,Central,2025-12-01,1
372,Mohini Sagar,Indore,Central,2024-11-05,0
373,Dhriti Sane,Bangalore,South,2025-07-17,1
374,Aadhya Prasad,Chandigarh,North,2025-11-25,1
375,Urvi Bhavsar,Jaipur,North,2024-10-09,1
376,Frederick Chander,Bangalore,South,2025-06-13,1
377,Gopal Pradhan,Pune,West,2024-08-01,0
378,Darpan Narayan,Delhi,North,2025-11-29,1
379,Nirja Pandya,Delhi,North,2024-09-18,1
380,Charan Mani,Mumbai,West,2025-03-04,1
381,Indira Chawla,Jaipur,North,2025-04-15,0
382,Mohammed Subramaniam,Kolkata,East,2024-07-03,0
383,Hritik Palla,Pune,West,2024-12-05,1
384,Ishwar Mallick,Bangalore,South,2024-12-14,1
385,Pushti Bal,Jaipur,North,2024-10-15,0
386,Ayush Gole,Mumbai,West,2024-12-17,1
387,Dayamai Nori,Chandigarh,North,2025-05-22,1
388,Abeer Golla,Hyderabad,South,2025-12-21,0
389,Nandini Boase,Delhi,North,2025-06-15,1
390,Azaan Chand,Jaipur,North,2025-01-22,1
391,Krisha Saini,Pune,West,2025-05-23,1
392,Harita Dugar,Mumbai,West,2025-11-06,1
393,Devika Nair,Mumbai,West,2024-07-28,0
394,Charles Dugal,Chandigarh,North,2024-12-29,0
395,Chandran Bumb,Hyderabad,South,2025-05-08,1
396,Saanvi Samra,Hyderabad,South,2024-11-23,0
397,Riya Sachdeva,Bangalore,South,2025-11-03,1
398,Tanveer Vala,Bangalore,South,2025-11-13,1
399,Hemani Sani,Mumbai,West,2024-07-01,1
400,Bhanumati Sur,Delhi,North,2025-05-11,1
401,Chakradev Kannan,Lucknow,North,2024-06-29,1
402,Christopher Amble,Delhi,North,2025-10-21,1
403,Charvi Kakar,Hyderabad,South,2025-04-20,1
404,Aadhya Mann,Bangalore,South,2024-07-17,1
405,Jagdish Amble,Chennai,South,2025-10-23,1
406,Qushi Gill,Mumbai,West,2025-11-03,0
407,Lajita Walia,Bangalore,South,2024-08-30,0
408,Xiti Pandya,Mumbai,West,2025-09-05,1
409,Mekhala Basak,Jaipur,North,2025-01-03,1
410,Anirudh Sharaf,Pune,West,2025-06-05,1
411,Dhriti Sanghvi,Hyderabad,South,2025-02-21,1
412,Omisha Mann,Delhi,North,2025-03-29,1
413,Nidhi Bail,Nagpur,Central,2024-10-13,1
414,Onveer Sharma,Delhi,North,2025-06-02,1
415,Gaurang Sarkar,Indore,Central,2024-12-03,1
416,Yagnesh Sarin,Ahmedabad,West,2025-03-15,1
417,Farhan Randhawa,Bangalore,South,2025-09-28,1
418,Harinakshi Kant,Delhi,North,2025-10-18,1
419,Om Bose,Hyderabad,South,2025-10-14,1
420,Yashvi Hari,Hyderabad,South,2025-10-08,1
421,Indali Divan,Kolkata,East,2025-02-15,1
422,Harshil Dhingra,Hyderabad,South,2025-03-20,1
423,Rudra Ghose,Mumbai,West,2025-03-08,1
424,Faqid Goel,Indore,Central,2026-01-01,1
425,Ucchal Sen,Delhi,North,2025-07-05,1
426,Diya Dora,Ahmedabad,West,2025-02-26,1
427,Ekansh Singh,Kolkata,East,2025-02-07,1
428,Chavvi Maharaj,Mumbai,West,2024-07-05,1
429,Indira Tripathi,Ahmedabad,West,2025-04-10,1
430,Dayita Shenoy,Chennai,South,2025-08-12,1
431,Baljiwan Bhandari,Pune,West,2025-03-17,1
432,Bhavini Bose,Nagpur,Central,2024-07-25,0
433,Yashica Rajagopalan,Mumbai,West,2024-07-20,0
434,Benjamin Sengupta,Chennai,South,2025-08-20,1
435,Ekanta Soni,Chennai,South,2024-06-09,1
436,David Seshadri,Chandigarh,North,2025-07-01,1
437,Hemal Chad,Ahmedabad,West,2025-11-27,1
438,Balveer Kota,Bangalore,South,2025-11-06,1
439,Reva Viswanathan,Bangalore,South,2024-10-17,0
440,Januja Pradhan,Hyderabad,South,2025-07-05,1
441,Lila Rege,Bangalore,South,2025-04-01,0
442,Charles Natt,Delhi,North,2025-12-12,1
443,Forum Chandra,Mumbai,West,2025-08-19,1
444,Bhanumati Krishnan,Mumbai,West,2024-10-07,1
445,Gauri Bumb,Ahmedabad,West,2025-09-12,1
446,Inaya Mukherjee,Hyderabad,South,2025-06-08,1
447,Kai Chad,Bangalore,South,2025-06-09,1
448,Krisha Narasimhan,Chennai,South,2024-12-30,1
449,Girik Sampath,Hyderabad,South,2025-10-22,1
450,Andrew Patil,Delhi,North,2025-09-17,1
451,Pranit Kala,Hyderabad,South,2025-01-20,1
452,Vedika Handa,Delhi,North,2025-12-28,1
453,Laksh Dubey,Pune,West,2025-05-27,1
454,Chakrika Chaudhuri,Mumbai,West,2025-03-25,1
455,Gayathri Deep,Bangalore,South,2025-06-24,0
456,Mitesh Gaba,Kolkata,East,2024-06-22,1
457,Noah Sarma,Delhi,North,2024-09-12,1
458,Nirja Patla,Indore,Central,2024-10-22,1
459,Sachi Mane,Patna,East,2024-10-03,1
460,Vivaan Walla,Patna,East,2024-06-23,1
461,Dayamai Singh,Chennai,South,2025-02-16,0
462,Jhalak Sastry,Chennai,South,2024-06-25,1
463,Baghyawati Raja,Lucknow,North,2025-09-23,1
464,Neel Iyengar,Delhi,North,2024-11-08,1
465,Zashil Ben,Delhi,North,2025-06-05,1
466,Kamya Chauhan,Mumbai,West,2025-02-15,1
467,Bhavani Chacko,Lucknow,North,2025-05-29,1
468,Anjali Sengupta,Bhopal,Central,2024-12-20,1
469,Rajeshri Chand,Kolkata,East,2025-08-20,1
470,Shravya Palla,Jaipur,North,2024-07-15,0
471,Oeshi Bera,Pune,West,2024-09-03,0
472,Yadavi Prakash,Pune,West,2025-08-19,1
473,Libni Bumb,Indore,Central,2024-08-01,1
474,Udarsh Bala,Chennai,South,2025-01-14,1
475,Hardik Nayak,Patna,East,2024-10-23,1
476,Laksh Barad,Chennai,South,2025-02-14,1
477,Urmi Dewan,Mumbai,West,2025-09-23,1
478,Saumya Ahluwalia,Delhi,North,2024-07-02,1
479,Anirudh Kunda,Hyderabad,South,2025-08-25,0
480,Mason Wable,Bangalore,South,2025-12-30,1
481,Indrajit Mani,Chandigarh,North,2024-10-25,1
482,Charvi Dara,Bangalore,South,2025-07-12,1
483,William Saini,Patna,East,2024-10-18,0
484,Dev Choudhry,Pune,West,2025-06-05,0
485,Amol Varma,Patna,East,2024-09-15,0
486,Maanas Manne,Indore,Central,2025-10-02,1
487,Aarav Pandit,Pune,West,2025-03-31,1
488,Omaja Grover,Kolkata,East,2024-12-24,1
489,Jalsa Bir,Indore,Central,2024-10-06,1
490,Madhavi Singhal,Bangalore,South,2025-07-09,1
491,Lila Prakash,Mumbai,West,2024-07-29,1
492,Amol Parikh,Bhopal,Central,2025-01-09,1
493,Hemani Khosla,Mumbai,West,2024-10-13,1
494,Gaurangi Deol,Chennai,South,2025-06-16,1
495,Indira Nigam,Pune,West,2024-07-31,1
496,Ucchal Srinivas,Hyderabad,South,2025-01-23,1
497,Krishna Bhatnagar,Mumbai,West,2025-04-01,1
498,Balhaar Memon,Ahmedabad,West,2025-02-08,1
499,Caleb Iyengar,Chennai,South,2025-11-03,1
500,Diya Mukherjee,Jaipur,North,2025-11-26,1
