driver_id,driver_name,successful_deliveries,avg_delay_minutes
56,Ekavir Bhargava,115,65.17
374,Aadhya Prasad,115,151
437,Hemal Chad,115,NULL
324,Aarini Subramaniam,115,127
294,Balendra Biswas,115,96
222,Anusha Bath,114,84.5
335,Chakradev Barad,114,100.29
494,Gaurangi Deol,114,114.14
457,Noah Sarma,114,108.43
278,Harini Tripathi,114,187
298,Ayush Batra,114,116
500,Diya Mukherjee,114,128.5
201,Yagnesh Shetty,113,141.82
113,Nitara Bakshi,113,95.88
203,Ekta Gopal,113,122
174,Fiyaz Sangha,113,104.75
179,Oviya Krishnan,112,115
183,Ryan Bahri,112,72.75
264,Raghav Vasa,112,127.7
452,Vedika Handa,112,89.29
119,Udant Bajwa,112,122.5
20,Isha Kadakia,112,68.5
110,Shivansh Krish,111,163.33
402,Christopher Amble,111,126.8
293,Lajita Nadig,111,72.14
251,Atharv Chand,111,70.33
146,Oeshi Hayer,111,102.5
284,Vivaan Roy,111,78.33
78,Mohammed Gupta,111,99
297,Sachi Ganesan,110,138
488,Omaja Grover,110,NULL
107,Kala Divan,110,123
248,Neha Magar,110,119
306,Aadhya Andra,110,131
70,Faqid Savant,109,124
431,Baljiwan Bhandari,109,180.33
390,Azaan Chand,109,87
66,Ikbal Kothari,109,137.33
191,Charvi Dara,108,86.67
171,Lopa Nayar,108,155.5
288,Harish Sarraf,108,42
207,Frederick Khurana,108,38.5
25,Diya Rattan,108,103.33
498,Balhaar Memon,108,196.5
400,Bhanumati Sur,107,160
443,Forum Chandra,107,27.5
235,Hardik Johal,107,30
292,Mitali Buch,107,114.5
356,Owen Lanka,107,93.75
87,Advika Jayaraman,107,118
38,Radhika Dugar,107,150.17
257,Ekani Cheema,107,199.5
466,Kamya Chauhan,107,148.88
55,Victor Kannan,106,138.4
445,Gauri Bumb,106,48
258,Forum Sabharwal,106,139.86
478,Saumya Ahluwalia,106,144.75
13,Tripti Yadav,106,150.6
44,Isaac Patil,106,122.33
106,Faqid Dixit,105,107.33
42,Kashvi Edwin,105,196
143,Umang Issac,105,136.5
200,Gabriel Mallick,105,166
276,Rayaan Trivedi,105,150.5
326,Faqid Dhaliwal,105,140.8
465,Zashil Ben,104,99.5
131,Ganga Murthy,104,140.5
305,Triya Kumar,104,125.33
427,Ekansh Singh,104,150
233,Shravya Savant,104,178
63,Irya Sampath,104,141
380,Charan Mani,104,113.38
412,Omisha Mann,104,126.4
15,Janaki Handa,104,87.86
383,Hritik Palla,104,179
121,Ekaraj Mallick,104,168.67
151,Zaid Dara,104,5
379,Nirja Pandya,103,140
469,Rajeshri Chand,103,231.5
90,Diya Bora,103,NULL
2,Udant Dewan,102,181.67
287,Balhaar Date,102,104.83
450,Andrew Patil,102,78.38
92,Tanay Toor,102,88.67
365,Ethan Buch,102,NULL
65,Darsh Rau,102,66
6,Rushil Saini,102,165
211,Nidhi Kohli,102,196
199,Amrita Naidu,102,115.4
81,Vansha Thakkar,102,NULL
195,Hitesh Sant,102,99.6
221,Chasmum Atwal,101,71.5
415,Gaurang Sarkar,101,132
53,Jai Kota,101,125.33
141,Frado Mander,101,129.86
491,Lila Prakash,101,142.71
129,Zinal Yohannan,101,143
217,Qasim Handa,100,107
156,Aradhana Verma,100,91
51,Devika Rastogi,100,96.83
77,Bhavika Sampath,100,107.18
5,Viraj Tiwari,100,143
303,Farhan Raja,100,123.6
409,Mekhala Basak,99,205.5
486,Maanas Manne,99,NULL
307,Bhavna Dugar,99,107
247,Jeet Sidhu,98,103.2
155,Shivani Lad,98,53.5
428,Chavvi Maharaj,98,118.44
464,Neel Iyengar,98,120.71
442,Charles Natt,98,115
61,Urvashi Ray,98,228
34,Devansh Rajan,97,124.71
54,Devansh Nigam,97,11
364,Hritik Swaminathan,97,NULL
414,Onveer Sharma,97,146
454,Chakrika Chaudhuri,96,153.75
101,Zayan Behl,96,131
8,Nathaniel Sami,96,118.5
339,Oni Dubey,96,197
224,Harshil Arora,96,NULL
360,Siya Thakur,96,112.67
423,Rudra Ghose,96,125.33
345,Mitali Majumdar,95,NULL
48,Kabir Soman,95,96.57
170,Rajata Sunder,95,73.5
29,Liam Koshy,95,138.33
261,Zayyan Naik,95,110.27
243,Pavani Contractor,95,20
421,Indali Divan,95,115.5
477,Urmi Dewan,94,141
30,Priya Rastogi,94,110.75
23,Anamika Kanda,94,90.67
408,Xiti Pandya,94,89.75
35,Upadhriti Wadhwa,94,143.83
317,Zashil Devan,94,102.22
37,Harini Choudhury,94,146.67
252,Ansh Luthra,93,163.67
176,Abha Raghavan,93,119
82,Dakshesh Trivedi,93,28
458,Nirja Patla,93,195
375,Urvi Bhavsar,93,88
18,Lajita Mall,93,89.6
256,Ijaya Rege,93,174.5
359,Janaki Varghese,92,155
254,Arunima Golla,92,97.2
497,Krishna Bhatnagar,92,72.25
123,Ayaan Dâ€™Alia,91,116
108,Joshua Barman,91,150.86
392,Harita Dugar,91,143
194,Advik Salvi,91,125.5
319,Bahadurjit Patla,91,189.5
219,Harish Hari,91,63
495,Indira Nigam,91,152
231,Yuvraj Dani,90,83
290,Nimrat Dubey,90,77
130,Januja Sankar,90,202.5
333,Dev Shetty,90,149.4
260,Suhani Chakrabarti,90,200
386,Ayush Gole,90,132
289,Tanmayi Aurora,90,186
399,Hemani Sani,89,20
59,Arya Sunder,89,133
424,Faqid Goel,89,132.5
124,Pranav Lanka,89,120
185,Ishwar Kamdar,89,99.6
487,Aarav Pandit,89,111
362,Tara Balasubramanian,89,124
473,Libni Bumb,88,96.5
166,Lajita Sood,88,239
46,Farhan Chada,88,52
391,Krisha Saini,88,118
453,Laksh Dubey,88,126.17
133,Nilima Narain,88,110
147,Warda Ratta,87,53.5
76,Madhavi Lanka,87,74
325,Hamsini Contractor,87,91.17
320,Gautam Merchant,86,134
216,Reyansh Mutti,86,NULL
196,Tripti Dua,86,78
456,Mitesh Gaba,86,78
192,Idika Walia,85,105
315,Watika Mangat,85,200
67,Ranveer Yadav,84,143
180,Upma Bahl,84,37
39,Aarush Lall,84,NULL
142,Girik Keer,84,88
410,Anirudh Sharaf,84,85.2
139,Riya Sathe,84,97.8
357,Jonathan Sama,82,92.17
472,Yadavi Prakash,82,27.67
187,Ishwar Gade,81,163
493,Hemani Khosla,81,133.17
99,Baghyawati Kade,81,133.5
148,Manbir Ahluwalia,81,167.75
206,Advaith Varughese,80,93.67
489,Jalsa Bir,79,NULL
21,Ekbal Garg,78,98.13
214,Sudiksha Madan,78,54.67
109,Janya Baral,77,NULL
444,Bhanumati Krishnan,77,92.33
111,Irya Ray,74,52.25
371,Odika Nori,73,NULL
